Review Title,Customer name,Rating,Rating_Numeric,Date,Date_Parsed,Category,Comments,Useful,Helpful_Count,Review_Title_Clean,Comments_Clean,Combined_Text,Review_Title_Processed,Comments_Processed,Combined_Text_Processed,Text_Length,Word_Count
Marvellous,Rakesh,5.0 out of 5 stars,5.0,on 21 September 2018,2018-09-21,Others,It's awesome phone.,,0,Marvellous,It s awesome phone.,Marvellous It s awesome phone.,marvellous,awesome phone,marvellous awesome phone,30,5
Nice product in cheap price, NANDKISHOR WANARE,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Others,I have fall in love,,0,Nice product in cheap price,I have fall in love,Nice product in cheap price I have fall in love,nice product cheap price,fall love,nice product cheap price fall love,47,10
Great phone,Buyer,4.0 out of 5 stars,4.0,on 21 September 2018,2018-09-21,Display,I loved the display,,0,Great phone,I loved the display,Great phone I loved the display,great phone,loved display,great phone loved display,31,6
Munish gupta,Munish ,3.0 out of 5 stars,3.0,on 26 September 2018,2018-09-26,Others,All is well,,0,Munish gupta,All is well,Munish gupta All is well,munish gupta,well,munish gupta well,24,5
Good work.,Korjani Yogesh,5.0 out of 5 stars,5.0,on 2 October 2018,2018-10-02,Others,Nice phone.,,0,Good work.,Nice phone.,Good work. Nice phone.,good work,nice phone,good work nice phone,22,4
Value for money,Gajanana Malji,5.0 out of 5 stars,5.0,on 23 September 2018,2018-09-23,Others,Superb????????????,,0,Value for money,Superb????????????,Value for money Superb????????????,value money,superb,value money superb,34,4
Bad video quality,bikash maji,3.0 out of 5 stars,3.0,on 24 September 2018,2018-09-24,Others,Video screen short,,0,Bad video quality,Video screen short,Bad video quality Video screen short,bad video quality,video screen short,bad video quality video screen short,36,6
??,sagar kute,4.0 out of 5 stars,4.0,on 1 October 2018,2018-10-01,Others,??,,0,??,??,?? ??,,, ,5,2
Value for money very good,MOHD AARISH,5.0 out of 5 stars,5.0,on 23 September 2018,2018-09-23,Others,Very good product,,0,Value for money very good,Very good product,Value for money very good Very good product,value money good,good product,value money good good product,43,8
Mi is best,tarun,5.0 out of 5 stars,5.0,on 22 September 2018,2018-09-22,Others,Simply Mi ia best,,0,Mi is best,Simply Mi ia best,Mi is best Simply Mi ia best,best,simply best,best simply best,28,7
Very good,Raju Dudhawade,5.0 out of 5 stars,5.0,on 21 September 2018,2018-09-21,Others,Very nice,,0,Very good,Very nice,Very good Very nice,good,nice,good nice,19,4
Excellent,????? ?????,5.0 out of 5 stars,5.0,on 19 September 2018,2018-09-19,Others,Excellent,,0,Excellent,Excellent,Excellent Excellent,excellent,excellent,excellent excellent,19,2
No thanks,KAILAS Ramchandra Throat,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Others,No thanks,,0,No thanks,No thanks,No thanks No thanks,thanks,thanks,thanks thanks,19,4
Good phone,Danish,5.0 out of 5 stars,5.0,on 18 September 2018,2018-09-18,Battery,Battery and camera,,0,Good phone,Battery and camera,Good phone Battery and camera,good phone,battery camera,good phone battery camera,29,5
Gud product,Jyoti thakur,5.0 out of 5 stars,5.0,on 19 September 2018,2018-09-19,Others,Value for money,,0,Gud product,Value for money,Gud product Value for money,gud product,value money,gud product value money,27,5
battery,Yaden Wap,5.0 out of 5 stars,5.0,on 1 October 2018,2018-10-01,Others,daaaaaaaam good,,0,battery,daaaaaaaam good,battery daaaaaaaam good,battery,daaaaaaaam good,battery daaaaaaaam good,23,3
Super,Josyula,5.0 out of 5 stars,5.0,on 22 September 2018,2018-09-22,Others,Value for money,,0,Super,Value for money,Super Value for money,super,value money,super value money,21,4
Coustly,Nasreen,1.0 out of 5 stars,1.0,on 27 September 2018,2018-09-27,Others,Selfi flesh not,,0,Coustly,Selfi flesh not,Coustly Selfi flesh not,coustly,selfi flesh,coustly selfi flesh,23,4
"Value for money, must buy",Amazon Customer,5.0 out of 5 stars,5.0,on 29 September 2018,2018-09-29,Others,Perfect,,0,"Value for money, must buy",Perfect,"Value for money, must buy Perfect",value money must buy,perfect,value money must buy perfect,33,6
Value of money,Ahir Dipak Ram,4.0 out of 5 stars,4.0,on 20 September 2018,2018-09-20,Others,Superb product,,0,Value of money,Superb product,Value of money Superb product,value money,superb product,value money superb product,29,5
Best,Vinayak shinde,5.0 out of 5 stars,5.0,on 29 September 2018,2018-09-29,Others,Best for price,,0,Best,Best for price,Best Best for price,best,best price,best best price,19,4
Very good product,vikram sharma ,5.0 out of 5 stars,5.0,on 1 October 2018,2018-10-01,Others,Really like it,,0,Very good product,Really like it,Very good product Really like it,good product,really like,good product really like,32,6
Not ok,RAKESH kumar mandal,5.0 out of 5 stars,5.0,on 21 September 2018,2018-09-21,Others,Not ok,,0,Not ok,Not ok,Not ok Not ok,,, ,13,4
Good,Manju,5.0 out of 5 stars,5.0,on 18 September 2018,2018-09-18,Others,User friendly,,0,Good,User friendly,Good User friendly,good,user friendly,good user friendly,18,3
Handy,Nitish,5.0 out of 5 stars,5.0,on 2 October 2018,2018-10-02,Battery,Slow charging,,0,Handy,Slow charging,Handy Slow charging,handy,slow charging,handy slow charging,19,3
Good service,Shaikh shahrukh.,5.0 out of 5 stars,5.0,on 19 September 2018,2018-09-19,Others,Good product,,0,Good service,Good product,Good service Good product,good service,good product,good service good product,25,4
Good rear camera,Amazon Customer,3.0 out of 5 stars,3.0,on 23 September 2018,2018-09-23,Others,Overall good,,0,Good rear camera,Overall good,Good rear camera Overall good,good rear camera,overall good,good rear camera overall good,29,5
Looking smart,SUJEET KUMAR,4.0 out of 5 stars,4.0,on 22 September 2018,2018-09-22,Others,Good,,0,Looking smart,Good,Looking smart Good,looking smart,good,looking smart good,18,3
Nice,Kamlesh purohit,5.0 out of 5 stars,5.0,on 24 September 2018,2018-09-24,Others,Nice,,0,Nice,Nice,Nice Nice,nice,nice,nice nice,9,2
Good,Amazon Customer,4.0 out of 5 stars,4.0,on 22 September 2018,2018-09-22,Others,Good,,0,Good,Good,Good Good,good,good,good good,9,2
Awesome,Vimalnathan.s,5.0 out of 5 stars,5.0,on 26 September 2018,2018-09-26,Others,Good,,0,Awesome,Good,Awesome Good,awesome,good,awesome good,12,2
Best Phone from Redmi Series,Mohammad Ayyub,5.0 out of 5 stars,5.0,on 18 September 2018,2018-09-18,Others,Best,,0,Best Phone from Redmi Series,Best,Best Phone from Redmi Series Best,best phone redmi series,best,best phone redmi series best,33,6
super,Kiran ,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Others,super,,0,super,super,super super,super,super,super super,11,2
nice for value,AMIT KUMAR,5.0 out of 5 stars,5.0,on 24 September 2018,2018-09-24,Others,all is fine,,0,nice for value,all is fine,nice for value all is fine,nice value,fine,nice value fine,26,6
Mi,Mohammed altaf,4.0 out of 5 stars,4.0,on 29 September 2018,2018-09-29,Others,Nice mobile,,0,Mi,Nice mobile,Mi Nice mobile,,nice mobile, nice mobile,14,3
Camera,Arjun ,5.0 out of 5 stars,5.0,on 23 September 2018,2018-09-23,Others,Nice mobile,,0,Camera,Nice mobile,Camera Nice mobile,camera,nice mobile,camera nice mobile,18,3
Very good,Mansukh,5.0 out of 5 stars,5.0,on 21 September 2018,2018-09-21,Others,Yes,,0,Very good,Yes,Very good Yes,good,yes,good yes,13,3
Great,SUNIL YADAV,4.0 out of 5 stars,4.0,on 21 September 2018,2018-09-21,Others,Best phone,,0,Great,Best phone,Great Best phone,great,best phone,great best phone,16,3
Best mobile,Rakesh Baraiya,5.0 out of 5 stars,5.0,on 26 September 2018,2018-09-26,Others,Too good,,0,Best mobile,Too good,Best mobile Too good,best mobile,good,best mobile good,20,4
Worthy,Sourav Maparu,4.0 out of 5 stars,4.0,on 22 September 2018,2018-09-22,Others,Good one,,0,Worthy,Good one,Worthy Good one,worthy,good one,worthy good one,15,3
Case back no ritan,Pappu Kumar varma,5.0 out of 5 stars,5.0,on 17 September 2018,2018-09-17,Others,Case back,,0,Case back no ritan,Case back,Case back no ritan Case back,case back ritan,case back,case back ritan case back,28,6
Best Phone,Rishikesh metkar,5.0 out of 5 stars,5.0,on 28 September 2018,2018-09-28,Others,Mi Best,,0,Best Phone,Mi Best,Best Phone Mi Best,best phone,best,best phone best,18,4
Battery,jagbir singh saini,5.0 out of 5 stars,5.0,on 24 September 2018,2018-09-24,Others,Its osm,,0,Battery,Its osm,Battery Its osm,battery,osm,battery osm,15,3
Fantastic,Amazon Customer,3.0 out of 5 stars,3.0,on 22 September 2018,2018-09-22,Others,Super,,0,Fantastic,Super,Fantastic Super,fantastic,super,fantastic super,15,2
Excellent,Hosain sekh,5.0 out of 5 stars,5.0,on 1 October 2018,2018-10-01,Others,Good,,0,Excellent,Good,Excellent Good,excellent,good,excellent good,14,2
Good,Najim ,5.0 out of 5 stars,5.0,on 30 September 2018,2018-09-30,Others,Good,,0,Good,Good,Good Good,good,good,good good,9,2
Nice,Amazon Customer,4.0 out of 5 stars,4.0,on 26 September 2018,2018-09-26,Others,Nice,,0,Nice,Nice,Nice Nice,nice,nice,nice nice,9,2
Awesome,Shubham,5.0 out of 5 stars,5.0,on 19 September 2018,2018-09-19,Others,Good,,0,Awesome,Good,Awesome Good,awesome,good,awesome good,12,2
Nice,Saif,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Others,Nice,,0,Nice,Nice,Nice Nice,nice,nice,nice nice,9,2
good,sohan lal,5.0 out of 5 stars,5.0,on 21 September 2018,2018-09-21,Others,good,,0,good,good,good good,good,good,good good,9,2
Good,Raj kumar,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Others,Good,,0,Good,Good,Good Good,good,good,good good,9,2
Midil,Deva bhoi,5.0 out of 5 stars,5.0,on 24 September 2018,2018-09-24,Others,Nice,,0,Midil,Nice,Midil Nice,midil,nice,midil nice,10,2
Gty,Shakeel ahamad,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Others,Jiiy,,0,Gty,Jiiy,Gty Jiiy,gty,jiiy,gty jiiy,8,2
Good,ayush,5.0 out of 5 stars,5.0,on 26 September 2018,2018-09-26,Others,Good,,0,Good,Good,Good Good,good,good,good good,9,2
Superb,Harsha,5.0 out of 5 stars,5.0,on 19 September 2018,2018-09-19,Others,Good,,0,Superb,Good,Superb Good,superb,good,superb good,11,2
Joordaar maja aaa gya,Joginder Singh ahuja,5.0 out of 5 stars,5.0,on 19 September 2018,2018-09-19,Others,Nice,,0,Joordaar maja aaa gya,Nice,Joordaar maja aaa gya Nice,joordaar maja aaa gya,nice,joordaar maja aaa gya nice,26,5
res for custmer,Sachin Wadhawan,5.0 out of 5 stars,5.0,on 25 September 2018,2018-09-25,Others,like,,0,res for custmer,like,res for custmer like,re custmer,like,re custmer like,20,4
Best display and advance features,Girish Basone,5.0 out of 5 stars,5.0,on 18 September 2018,2018-09-18,Others,Nice,,0,Best display and advance features,Nice,Best display and advance features Nice,best display advance feature,nice,best display advance feature nice,38,6
Nice phone,Ok,5.0 out of 5 stars,5.0,on 22 September 2018,2018-09-22,Others,Ok,,0,Nice phone,Ok,Nice phone Ok,nice phone,,nice phone ,13,3
Ni,Amazon Customer,1.0 out of 5 stars,1.0,on 2 October 2018,2018-10-02,Others,No,,0,Ni,No,Ni No,,, ,5,2
Launch display,pintu sahoo,5.0 out of 5 stars,5.0,on 24 September 2018,2018-09-24,Others,Ok,,0,Launch display,Ok,Launch display Ok,launch display,,launch display ,17,3
Super,Jawed Ansari,5.0 out of 5 stars,5.0,on 26 September 2018,2018-09-26,Others,Good,,0,Super,Good,Super Good,super,good,super good,10,2
Worst front camera on a Mi device till date.,Ram Rajkishore,1.0 out of 5 stars,1.0,on 15 September 2018,2018-09-15,Camera,It has a worst front camera I have ever seen on a Mi device.Its just disgusting to see such a poor front camera on a Rs.11000 device.Very much disappointed.,,0,Worst front camera on a Mi device till date.,It has a worst front camera I have ever seen on a Mi device.Its just disgusting to see such a poor front camera on a Rs.11000 device.Very much disappointed.,Worst front camera on a Mi device till date. It has a worst front camera I have ever seen on a Mi device.Its just disgusting to see such a poor front camera on a Rs.11000 device.Very much disappointed.,worst front camera device till date,worst front camera ever seen device.its disgusting see poor front camera rs.11000 device.very much disappointed,worst front camera device till date worst front camera ever seen device.its disgusting see poor front camera rs.11000 device.very much disappointed,201,38
